State,Any,six_months,twelve_months,Exclusive_3_months,Exclusive_6_months,formula
US National,83.2,55.8,35.9,45.3,24.9,19.2
Alabama,71.1,37.7,23.7,38,21,15.3
Alaska,92.9,67.6,50.9,57.6,30.9,15.5
Arizona,85.4,58.3,40.4,43.2,24,20.2
Arkansas,74.9,46.5,29.2,42,24.4,11.1
California,89.9,62.3,43.6,51.6,27.3,19
Colorado,94,66.1,39.6,62.8,32.1,9.6
Connecticut,84.2,58.7,34.1,44.7,26.3,23.5
Delaware,83.6,54.8,34.9,48.3,25,22.7
District of Columbia,87.7,66.8,36.8,49.6,29.2,20.5
Florida,71,40.3,23,32.4,18.2,21.4
Georgia,82.6,53.1,33.7,39.9,18.7,24.2
Hawaii,90.1,70.9,54.1,50.6,27.7,16.2
Idaho,93.5,65.1,40.7,57.6,30.4,15.9
Illinois,84.9,58.7,35.4,47.8,28.3,18.4
Indiana,85.9,52.9,30.3,46.2,21.5,14.3
Iowa,82.4,58.3,38.2,52.8,27,15.9
Kansas,87.1,59.9,39.5,47,29.2,16.9
Kentucky,74.7,49.3,34.5,35.4,21.2,20.7
Louisiana,71.1,45,24.2,38,22.2,15.7
Maine,86.6,64.2,41,50.5,28.7,16.9
Maryland,88.5,66.8,43,50.2,28.9,21.3
Massachusetts,80,62.9,44.2,52.8,29.2,15.2
Michigan,83.1,53.7,32.2,42.6,25.1,18.7
Minnesota,91.9,69.9,46.3,57.5,36.5,18.1
Mississippi,69.4,35.7,22.2,31.1,15.6,21.2
Missouri,78.3,54.7,34,42.5,24.6,19.2
Montana,83.5,63.9,42.9,50.4,34.3,15.9
Nebraska,86.1,57.5,37.7,49.3,26,17.6
Nevada,83.8,52.5,27.6,42.4,22.3,23.2
New Hampshire,82.2,61.3,42.5,55,31.8,11.8
New Jersey,82.5,55.4,33.8,41.2,23.5,25.2
New Mexico,83.4,62.3,42.8,52.3,29,13
New York,86.7,58.8,36.3,42.4,23.4,24.4
North Carolina,83.4,53,34.2,47.2,22.1,15.6
North Dakota,85.7,57.2,34.4,48.8,27.4,11.5
Ohio,79.5,50.4,32.2,42.7,23.7,23.9
Oklahoma,77.3,47.9,27.9,43.1,23.2,12.6
Oregon,87.2,65.2,44,59.2,34.2,11.4
Pennsylvania,74.8,53.3,35.2,42.4,24.6,22
Puerto Rico,86.2,51.8,35.3,51.6,35.2,20.3
Rhode Island,82.4,54.6,33.3,42.3,22.9,23.2
South Carolina,80.6,46.6,26,43.3,19.3,22.1
South Dakota,88.9,61.4,37.8,52.1,29.1,13.2
Tennessee,78.8,53.2,31.5,41.9,24.9,22.3
Texas,84.1,54.1,34.8,42.4,24,19.8
Utah,91.4,63.8,44.1,49.5,27.3,20.9
Vermont,91.8,73.2,54,61,36.2,9.5
Virginia,83.3,63,40.1,39.6,25.8,18.6
Washington,93.7,68,47.4,57,29.5,14
West Virginia,59.8,31.7,19.2,28,13.8,21.4
Wisconsin,87.5,61.7,45.1,59.3,31.3,12
Wyoming,92.4,62.7,41.3,55.3,27.2,11.9